Postcode,0-9 years,10-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80-89 years,90-99 years,100 years and over
2000,991,1299,10803,7363,2549,1926,1444,724,268,49,0
2006,5,564,623,19,18,13,4,6,0,0,0
2007,306,773,4517,1699,644,372,305,138,77,16,0
2008,312,1069,6169,2217,803,589,373,142,36,9,0
2009,943,526,3169,3516,1597,1332,1073,487,156,15,0
2010,1090,713,7304,7878,4193,2996,1962,1001,500,105,0
2011,615,597,5527,5520,3012,2387,1835,970,546,182,4
2015,890,438,2406,2785,1608,953,525,209,94,14,0
2016,725,467,3358,3079,1867,1530,1105,700,354,37,0
2017,1514,1821,8560,6039,2359,1756,1378,839,379,46,0
2018,1829,1755,3331,3040,2242,1747,1410,1067,534,80,0
2019,1574,1214,1459,1752,1753,1325,863,554,282,71,0
2020,1476,1327,3739,3241,1758,1396,934,568,289,49,0
2021,1482,960,2960,3403,2229,1692,1283,924,319,74,0
2022,1357,937,2225,2583,1727,1288,1028,768,479,120,3
2023,1252,1357,1458,1677,1539,1294,1136,642,279,88,6
2024,1424,1109,1255,2036,1750,1311,909,593,461,220,4
2025,811,532,998,1248,969,870,852,655,353,117,4
2026,3503,2108,6470,8542,4738,2826,2128,1280,712,182,0
2027,602,586,1080,1342,950,950,1094,915,473,192,0
2028,377,309,779,903,539,481,535,421,212,76,3
2029,1229,1053,1171,1759,1458,1076,960,711,413,131,0
2030,1892,2132,1421,1471,2154,1974,1486,904,476,163,10
2031,4079,2790,6371,7234,5026,3631,2601,1639,1000,347,16
2032,1305,1865,5629,2056,1739,1455,1182,836,521,102,0
2033,1053,1174,3223,2032,1265,1065,744,557,373,81,0
2034,2340,1721,3450,4463,3064,2272,1712,1024,548,115,0
2035,3907,3686,5517,5268,4796,4017,3144,2348,1478,330,4
2036,3489,3435,4038,4281,4502,3994,3228,2103,1085,252,3
2037,1130,1125,4275,3052,2021,1781,1554,795,314,68,0
2038,1175,744,1441,1795,1607,1156,904,406,194,43,0
2039,1174,586,1033,1910,1594,1059,884,370,102,13,0
2040,3381,1811,2727,4112,3982,2606,1860,1027,580,156,0
2041,1988,1275,1638,2583,2720,2264,1881,976,308,57,0
