Postcode,Male,Female,Population
800,3629,2835,6467
810,16776,16530,33302
812,9442,9429,18875
815,191,104,286
820,10205,9249,19449
822,13146,12414,25558
828,627,572,1203
829,1578,264,1835
830,9229,8979,18209
832,7811,7761,15571
834,956,879,1834
835,3574,1565,5131
836,4076,3677,7752
837,223,190,412
838,442,379,816
839,274,276,551
840,216,144,365
841,383,309,702
845,265,243,509
846,185,169,357
847,175,149,329
850,4174,3963,8137
852,4296,4005,8300
853,495,365,856
854,457,419,875
860,1581,1416,2997
862,385,381,762
870,9604,10030,19631
873,1197,1240,2434
874,272,279,547
875,1154,1216,2373
880,2614,2597,5212
885,496,382,875
886,582,499,1077
2000,13817,13597,27411
2006,543,716,1261
2007,4253,4588,8846
2008,5622,6090,11712
2009,6484,6326,12813
2010,15973,11760,27733
2011,11947,9252,21199
2015,5023,4898,9922
2016,7186,6030,13213
2017,12671,12024,24694
2018,8533,8501,17028
2019,5418,5422,10840
2020,7433,7338,14771
2021,7278,8041,15312
2022,6001,6510,12510
2023,5223,5494,10719
2024,5278,5795,11073
2025,3370,4036,7407
2026,16065,16422,32489
2027,3753,4433,8191
2028,2038,2605,4643
2029,4628,5327,9957
2030,6696,7383,14080
2031,16578,18146,34729
2032,8427,8266,16692
2033,5767,5806,11573
2034,9747,10968,20716
2035,16737,17754,34496
2036,15717,14694,30411
2037,7595,8519,16119
2038,4540,4910,9452
2039,4165,4556,8726
2040,10635,11611,22242
2041,7516,8172,15687
2042,9571,9555,19128
2043,4121,3895,8014
2044,3934,3914,7840
2045,3196,3255,6453
2046,12662,14157,26822
2047,5609,6337,11950
2048,3939,4000,7940
2049,5545,5735,11278
2050,4390,4573,8967
2052,1769,1661,3428
2060,6744,7238,13987
2061,2848,3102,5943
2062,3281,3722,7004
2063,3055,3285,6348
2064,4649,4870,9525
2065,14405,15710,30116
2066,15545,16077,31625
2067,12523,13887,26404
2068,8098,8717,16811
2069,6977,7276,14251
2070,6532,6976,13504
2071,6521,7030,13550
2072,3661,4004,7666
2073,7766,8587,16354
2074,10656,11605,22261
2075,9785,10668,20456
2076,11865,12785,24653
2077,18435,19359,37792
2079,3537,3564,7096
2080,852,853,1704
2081,2680,2688,5365
2082,2665,2734,5399
2083,782,736,1514
2084,1787,1837,3625
2085,5624,5997,11624
2086,6644,6773,13417
2087,6180,6616,12796
2088,13191,15291,28476
2089,5602,6315,11914
2090,6310,7416,13726
2092,3440,3701,7137
2093,11073,11796,22872
2094,2790,3053,5841
2095,7890,7974,15863
2096,7277,7380,14656
2097,7578,7949,15531
2099,19487,20439,39922
2100,10360,10548,20911
2101,9457,9937,19394
2102,3604,3897,7499
2103,5126,5546,10674
2104,1662,1959,3620
2105,940,907,1848
2106,4570,4732,9303
2107,7167,7502,14670
2108,852,820,1672
2109,1443,1638,3090
2110,5168,5175,10348
2111,6966,7447,14415
2112,15991,16868,32852
2113,8992,9376,18365
2114,11849,12211,24059
2115,5357,5382,10738
2116,3284,3356,6640
2117,10394,10892,21288
2118,11960,12376,24340
2119,5514,6128,11646
2120,9924,10283,20207
2121,13912,14304,28215
2122,15041,16124,31161
2123,0,0,0
2125,8080,8295,16377
2126,9210,9552,18768
