Postcode,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Not applicable
800,26,349,76,109,147,196,230,340,458,639,471,399,314,583,517,1069,536
810,131,1996,772,1088,1353,1344,1447,1579,2189,2677,2097,1907,1527,2162,1014,3271,6752
812,79,1211,448,645,724,706,863,984,1219,1580,1214,1055,805,1098,468,1721,4069
815,0,33,9,25,36,30,19,8,0,7,0,0,3,3,3,112,0
820,59,1015,347,511,565,606,626,827,1204,1733,1367,1292,1050,1785,1252,2147,3051
822,79,1268,2058,4527,1405,857,985,645,608,669,596,470,349,534,200,3622,6664
828,10,81,27,78,47,35,56,58,76,88,53,35,31,37,37,204,243
829,0,12,7,5,10,6,8,33,155,182,151,69,37,32,22,1055,48
830,67,1092,369,599,678,657,693,821,1125,1454,1144,973,725,1086,491,1715,4512
832,61,955,317,378,323,345,471,660,1016,1273,1158,1043,700,1115,614,953,4197
834,5,100,34,56,54,69,77,78,100,153,144,128,90,139,71,185,354
835,12,210,76,103,112,144,134,161,213,273,238,237,202,570,411,1450,577
836,21,428,160,208,217,241,299,358,493,602,497,466,331,585,265,814,1759
837,5,20,8,19,25,19,20,26,25,29,27,11,9,22,5,57,82
838,3,55,15,19,37,25,17,36,32,72,57,62,36,40,19,90,187
839,0,29,10,14,16,16,30,30,50,47,32,31,11,27,15,92,94
840,5,30,15,48,48,44,16,24,15,9,13,11,3,5,5,34,30
841,0,36,12,27,30,31,30,35,47,45,44,27,24,40,15,87,162
845,5,25,8,36,24,35,30,23,20,24,15,18,16,13,7,88,108
846,0,20,8,33,30,22,18,18,27,13,5,9,12,11,4,49,72
847,4,25,14,36,15,22,21,12,21,18,8,5,5,7,3,36,67
850,18,349,209,317,317,305,316,388,477,567,472,416,268,306,103,1493,1818
852,35,358,424,1503,444,262,337,238,229,203,149,130,97,130,48,1351,2353
853,0,41,12,17,13,10,20,14,42,67,94,101,51,51,8,76,232
854,0,57,19,146,47,52,55,30,43,36,26,27,10,13,3,58,252
860,6,116,82,374,169,122,96,119,167,186,138,121,102,105,33,411,645
862,0,33,16,60,40,95,54,53,45,43,27,12,7,7,0,35,235
870,58,974,418,663,588,637,725,996,1420,1777,1354,1188,917,1136,425,2288,4057
873,3,93,137,228,128,157,100,120,111,153,119,107,72,92,38,338,436
874,0,41,16,8,10,3,10,15,22,44,32,31,27,50,34,72,126
875,13,112,55,82,94,71,89,105,153,217,151,128,98,110,29,250,637
880,6,228,129,458,108,92,106,141,156,238,196,190,202,325,112,1074,1461
885,0,32,8,14,7,12,22,24,25,47,44,45,40,143,84,89,244
886,5,46,17,25,25,18,31,53,44,69,54,56,52,106,27,192,255
6000,60,928,239,500,582,593,499,539,689,794,693,664,485,994,650,1729,796
6003,15,179,54,162,208,176,155,178,233,285,216,184,139,302,166,649,217
6004,53,910,201,403,489,557,478,502,627,799,597,564,451,977,794,1579,627
6005,36,400,116,221,245,262,260,273,329,382,379,327,281,521,393,869,340
6006,31,534,249,362,507,515,417,377,485,573,473,450,345,735,628,688,1383
6007,19,385,187,271,289,357,341,290,365,481,464,441,321,671,609,657,986
6008,47,1071,520,585,590,711,657,578,678,878,783,807,648,1322,1553,1224,2486
6009,82,2380,1051,1083,748,879,856,654,660,816,680,706,536,1097,2306,942,3052
6010,59,1481,721,691,648,743,714,669,774,897,732,720,579,1204,1988,1278,2928
6011,43,709,344,314,287,275,354,311,372,452,365,444,335,710,1446,622,1614
6012,39,752,317,351,377,438,442,347,372,519,370,352,292,558,963,749,1505
6014,48,1445,788,810,780,997,961,865,1125,1257,908,955,709,1531,1897,1212,4301
6015,16,589,317,259,232,247,239,247,300,346,257,256,207,460,977,349,1313
6016,32,622,339,425,533,604,456,478,512,612,519,459,374,828,635,594,2019
6017,20,271,89,247,263,281,236,299,368,369,284,201,150,153,60,345,479
6018,112,2613,1409,1707,1888,2005,1902,1743,1978,2393,2074,1875,1550,2914,2240,2525,7088
6019,68,1306,667,784,865,1084,1139,1019,1272,1687,1347,1238,1034,1891,1346,1535,3508
6020,56,1474,863,950,1050,1040,1148,988,1100,1330,1006,978,815,1613,1509,959,3918
6021,73,1518,663,1062,1464,1300,1152,1068,1260,1440,1029,905,651,1116,677,1389,3288
6022,25,342,193,240,296,317,318,288,344,357,286,244,187,301,100,216,930
6023,49,1129,682,706,763,792,781,705,794,975,772,684,594,1190,760,649,3250
6024,37,984,489,721,867,785,825,695,862,1004,758,680,487,772,269,601,2517
6025,95,2345,1165,1514,1599,1505,1645,1594,1811,2034,1598,1502,1155,1913,1332,1456,5761
6026,51,1692,1043,1113,1288,1328,1357,1160,1214,1473,1164,1073,902,1581,792,969,4136
6027,153,3405,1705,2144,2317,2322,2393,2340,2522,3045,2314,2054,1540,2431,1282,2259,7459
6028,89,2177,1049,1001,1031,924,1077,1026,1246,1453,1185,1103,900,1554,1056,877,4695
6029,6,187,139,107,128,122,116,140,139,181,138,139,119,228,267,129,506
6030,204,3384,1496,2032,2281,1976,2178,2089,2457,2722,1916,1582,1131,1825,948,2573,8584
6031,66,1384,567,716,677,625,771,920,1105,1325,1007,802,519,731,298,803,4318
6032,0,7,6,15,9,17,19,7,16,19,13,17,4,7,4,15,25
6033,3,46,15,22,26,11,20,13,32,30,20,13,13,20,16,58,72
6034,5,108,23,41,53,43,86,89,131,168,99,106,63,81,28,124,422
6035,43,674,259,382,483,458,496,442,469,555,401,353,260,386,181,852,2174
6036,57,1339,522,702,657,635,763,758,952,1067,746,691,467,728,317,1176,4211
6037,23,239,90,168,226,191,178,171,156,172,95,105,83,111,68,287,631
6038,20,449,150,197,174,220,260,356,435,519,426,337,266,326,92,423,1629
6041,17,126,49,116,155,114,93,78,83,81,44,44,38,51,38,128,290
6042,0,11,0,12,3,6,10,11,7,5,0,4,0,0,0,10,0
6043,0,16,6,12,22,23,25,10,6,7,4,5,9,18,4,36,36
6044,7,97,36,90,131,87,69,77,102,84,29,29,28,48,41,114,156
6050,47,995,559,681,780,895,778,704,811,975,756,752,558,1092,1306,1541,2152
6051,73,831,273,599,628,716,693,720,895,1005,843,742,493,907,465,1059,1641
6052,36,738,388,558,616,639,559,510,613,756,623,527,465,829,517,792,1942
6053,45,943,489,720,843,817,740,748,820,985,811,795,551,1080,508,1066,2463
6054,107,1471,691,1259,1390,1305,1170,1127,1343,1434,1028,917,680,968,361,1450,3672
6055,88,1612,545,859,864,893,1086,1086,1413,1749,1239,1147,747,1094,463,1771,4381
6056,181,2878,1313,2368,2781,2487,2279,2285,2596,2898,1945,1717,1089,1559,679,3158,6949
6057,67,1231,529,809,999,912,934,950,1169,1380,910,786,544,816,309,1125,3331
6058,55,1025,407,672,849,736,717,749,935,1031,766,590,354,484,157,859,2321
6059,127,1959,889,1341,1674,1545,1395,1392,1430,1657,1164,1056,772,1269,776,1300,3751
6060,89,1489,585,1240,1410,1542,1335,1330,1577,1949,1452,1251,868,1491,703,1838,3239
6061,261,3163,1170,2762,3004,2625,2225,2435,2755,2813,1795,1292,774,903,228,3145,7228
6062,206,2816,1151,1980,2502,2240,2063,2029,2231,2370,1662,1424,973,1278,476,2058,5199
6063,67,1408,565,934,922,768,811,838,1000,1069,666,479,323,412,123,877,3091
6064,222,2782,1193,2397,2344,2188,1998,1950,2182,2164,1305,917,552,712,198,1844,6374
6065,255,4970,2193,2965,3059,3102,3152,3289,3695,4549,3388,3088,2206,3371,1330,3010,14379
