Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2000,24207,68607,25828,20465,52595,26186,2608,492,-420,24207,72602,26811,24207,3857,280,1799,217427,22080,1395,197860,14998,14304,35296,8571,44616,88340,1219
2006,79,82018,53192,66,84414,69154,20,4368,4148,79,85314,54338,79,3295,876,4,48509,37440,3,41247,37177,57,32740,19577,120,98720,19776
2007,4879,47040,31049,4275,47486,33284,519,-1026,-1654,4879,48788,32450,4879,1740,300,373,148524,18532,320,149251,8214,3099,16119,9233,6952,42250,4267
2008,6025,82162,40289,5372,53977,42505,670,61,-906,6025,84322,42123,6025,2093,392,571,54155,18000,494,30197,7579,4244,36981,10972,8081,55885,9029
2009,9763,84475,52414,8179,75281,56378,1679,-2595,-1393,9763,87664,54867,9763,3003,567,755,122156,23795,673,93747,10851,7373,32797,15451,12889,131020,19841
2010,20638,83548,55634,17922,77911,58919,2963,-1097,-1453,20638,87037,58364,20638,3324,758,2237,90935,23726,2060,57376,11590,16579,29894,15353,29336,92359,19730
2011,15288,90741,56494,12673,77698,58919,2283,1129,-195,15288,94853,59675,15288,3947,833,1619,96352,29414,1527,58267,13490,12021,34692,15926,22065,141250,21732
2015,7444,76455,62703,6618,76224,65639,1169,-2457,-2082,7444,79604,65532,7444,3079,1114,770,60492,26100,736,35978,11605,6373,23270,15740,9043,95965,42480
2016,8718,70432,54829,7618,68931,58561,1291,-891,-1008,8718,73372,57460,8718,2876,836,1015,76017,22960,955,48400,10418,7080,22143,14100,11836,84371,23902
2017,14025,65510,54101,12429,67361,58948,1925,-5082,-3561,14025,68347,56730,14025,2792,894,1278,92679,23825,1159,73978,10369,11199,19948,13862,16613,59533,21409
2018,9425,56377,46620,7756,59689,51911,1668,709,-757,9425,59068,48933,9425,2598,768,999,100726,34500,947,81157,17576,7217,16393,11023,11223,73318,26470
2019,6578,63034,53578,5670,66018,58828,1095,-813,-1248,6578,66188,56474,6578,3114,1373,672,69351,31848,643,46271,15150,5435,17632,13149,7669,98547,52755
2020,9856,57767,48862,8490,60542,54289,1673,-2019,-2744,9856,60366,51089,9856,2559,912,876,108982,24980,818,95039,12452,7812,16278,11500,11245,71576,27715
2021,10987,123446,66535,8668,101073,68000,1947,1119,403,10987,128584,70120,10987,5002,1105,1298,163771,36552,1271,84040,14920,9158,50101,18660,13959,204777,42740
2022,9078,85624,52286,7096,79186,55474,1493,6644,1897,9078,89397,55155,9078,3655,770,962,106392,32356,895,62125,12998,7027,32581,14934,11864,131691,20816
2023,7254,180412,68006,4918,106940,61802,1473,8959,3367,7254,192830,73332,7254,11692,1182,960,246084,50036,926,152407,20966,5944,84075,20479,8423,421125,50118
2024,7561,119592,61401,5798,98924,64436,1489,2421,1084,7561,125100,65747,7561,5335,1075,1053,127001,34328,1006,69617,15604,6134,49624,17738,9151,188337,48170
2025,5340,141868,67914,3659,102830,67108,1040,6328,2542,5340,152928,73098,5340,8589,1167,686,231124,44335,646,144119,20784,4269,62034,21146,6256,343255,54004
2026,24401,90539,55131,20003,80127,58053,3535,3183,994,24401,94785,58107,24401,3989,880,3183,104815,29297,2951,75057,13147,19172,34958,15695,34379,96974,19647
2027,5995,192500,72877,3771,110802,66727,1298,7091,4844,5995,206089,77259,5995,13315,1350,680,214436,43220,649,129014,19154,4910,90675,21850,6774,562779,60413
2028,3520,146521,65758,2414,97377,62789,708,8830,2016,3520,153485,70861,3520,6526,1039,392,171964,38489,364,108478,16408,2905,63650,18986,4025,363157,44553
2029,7020,111140,59358,4828,86835,59097,1349,9180,3859,7020,118676,63522,7020,6032,1044,910,151117,40365,870,95758,18172,5630,45324,17379,7922,300877,47976
2030,9819,182829,65015,6186,104725,53944,2277,9917,5320,9819,195134,70786,9819,11627,855,1223,242292,47930,1157,155464,21774,7862,85003,20254,10409,424856,61051
2031,23160,89077,59853,18850,81282,63322,3823,2309,271,23160,93015,63089,23160,3843,1084,2702,105022,34213,2571,59715,13625,18862,32125,16359,28558,131421,39182
