Postcode,Never married,Widowed,Divorced,Separated,Married,Not applicable
2600,1879,359,451,131,3368,1057
2601,5136,37,198,72,807,110
2602,11348,1250,2084,603,10058,5104
2603,2869,428,556,179,3845,1482
2604,3904,495,837,284,3474,1391
2605,2761,719,706,200,5030,2309
2606,3079,340,689,183,3672,1456
2607,3359,649,886,277,6063,2388
2609,293,54,154,60,243,89
2612,8864,368,938,283,4356,1381
2614,5359,894,1362,374,7750,3649
2615,11765,1349,3017,1010,17466,9565
2617,12352,887,1752,604,12095,4814
2900,605,82,203,57,765,226
2902,3941,426,1138,339,6095,2969
2903,2448,276,693,217,3774,1797
2904,3045,557,832,272,5872,2277
2905,8102,754,2151,742,11089,5791
2906,4996,416,1222,402,6974,3630
2911,1122,68,161,57,1978,1084
2912,1969,84,317,114,2447,1209
2913,9761,591,1957,662,14432,7651
2914,5621,251,962,421,10785,7160
3000,27307,222,1208,438,7584,1214
3002,2342,187,351,98,1683,299
3003,3395,46,234,78,1366,395
3004,4203,321,812,199,3209,563
3005,233,11,47,9,183,49
3006,10870,151,948,325,5613,904
3008,5024,94,571,196,3815,743
3010,1521,0,8,4,55,13
3011,9795,662,1405,534,6388,2684
3012,9618,938,1708,688,8883,4453
3013,5204,552,867,319,5204,2829
3015,5288,596,1106,399,6430,3652
3016,4220,614,1103,365,6318,2940
3018,3438,713,974,336,5131,2101
3019,3086,381,683,296,3059,1692
3020,13467,2197,2920,1381,17081,7736
3021,15332,2439,3947,1972,21015,9491
3022,949,232,226,104,1034,554
3023,15976,1603,3344,1693,26043,15307
3024,6060,470,1263,750,8844,6456
3025,3309,907,749,305,4635,2250
3026,26,7,20,13,5,0
3027,1363,56,200,116,3165,1749
3028,8538,1125,1962,897,11535,5148
3029,22130,1914,4075,2226,40070,23537
3030,23748,2659,5360,2432,41629,24484
3031,8189,582,1314,443,5092,2909
3032,11043,776,1747,697,10514,4674
3033,3399,847,785,368,6614,2494
3034,2843,807,610,274,5308,1785
3036,1398,295,294,121,2817,1001
3037,12591,1382,2482,1192,21643,11863
3038,7404,925,1268,635,12660,4366
3039,4822,563,816,280,5515,2273
3040,8158,1051,1398,542,10508,4283
3041,3390,444,610,262,5423,2283
3042,4196,895,1158,392,6437,2681
3043,4855,892,1335,537,7155,2946
3044,8099,1422,1479,551,10543,5022
3045,48,6,10,3,37,0
3046,9408,2037,1954,911,13705,6041
3047,5891,898,1377,698,7306,4730
3048,4861,677,1070,661,6684,4080
3049,2631,328,665,291,3761,1593
3050,28,7,10,13,38,24
3051,8736,280,861,286,3213,1566
3052,3294,299,270,66,1351,420
3053,13465,335,743,286,2606,1097
3054,4378,237,500,132,2255,928
3055,6349,537,827,260,4279,1906
3056,13171,797,1247,373,6281,2613
3057,6261,313,598,204,2924,1207
3058,12199,1476,1822,702,12000,5589
3059,4031,261,553,302,7267,3059
3060,3419,949,680,301,5673,3025
3061,1280,276,279,141,2057,1022
3062,0,0,0,0,0,0
3063,143,28,30,10,252,110
3064,18251,1628,3172,2022,30785,19604
3065,5562,279,837,267,2307,1198
3066,4854,201,668,234,1569,979
3067,4713,164,517,158,1997,649
3068,8780,521,1242,321,5169,2628
3070,10458,880,1391,451,7376,4014
3071,7640,782,1026,374,5763,2977
3072,12450,1402,1953,779,11011,5256
3073,15807,3135,3260,1271,18788,8217
3074,5383,1149,1158,619,8848,3366
3075,5515,1120,1306,670,9838,4149
3076,7923,1040,1744,835,13677,7180
3078,4643,359,677,222,3932,1811
3079,4684,681,880,283,6768,2683
3081,4930,641,1084,397,3988,2384
3082,8409,1025,1644,722,12852,5065
3083,10544,1390,1431,605,12916,4636
3084,6274,1256,1381,500,11308,4798
3085,3730,623,818,265,5798,2642
3086,836,0,3,0,45,21
3087,2453,413,559,214,3745,1658
3088,6592,1099,1655,635,11839,5072
3089,3175,272,644,261,5038,2344
3090,597,45,88,35,1121,477
3091,448,36,59,14,767,266
3093,996,230,262,71,1714,618
3094,2297,312,614,205,3808,1732
3095,6716,775,1518,473,12806,5478
3096,552,92,103,44,829,340
3097,356,25,64,21,680,286
3099,1314,137,288,110,2076,960
3101,8147,1082,1309,385,9733,3951
3102,1729,235,318,91,2914,1339
3103,4228,832,747,253,6829,2444
3104,5278,893,749,295,9392,3802
3105,2629,630,518,198,5260,1645
3106,3804,863,711,278,8379,2589
3107,2950,906,658,231,6514,2287
3108,5526,1169,1146,410,9794,2771
3109,6574,1388,1305,434,13926,4729
3111,2805,783,599,201,5849,2119
3113,2129,184,455,130,3860,1705
3114,938,105,109,46,1862,757
3115,927,72,141,57,1936,667
3116,2528,378,622,202,4392,1740
3121,16016,828,2055,616,7919,3062
3122,10699,543,1141,327,7740,3061
3123,5296,432,760,244,5294,2297
3124,6164,1151,1028,336,9553,3870
3125,6287,728,723,263,5065,1949
3126,2047,375,313,95,3822,1406
3127,4955,631,865,268,8337,3400
3128,7291,795,1156,340,7499,2757
3129,4835,700,948,324,7467,3103
3130,8180,1720,1730,540,14047,5959
3131,5679,1235,1405,403,9799,3981
3132,4123,603,1026,314,7069,3004
3133,4908,1043,1075,350,10785,3964
3134,8430,1431,2058,710,14022,6131
3135,5063,838,1412,450,8385,3805
3136,11616,2083,3369,1151,17987,8162
3137,3700,761,1035,368,5435,2570
3138,5990,757,1449,566,8866,4330
3139,3629,399,945,368,5566,2811
3140,4329,712,1148,477,6797,3067
3141,14110,624,1615,468,6539,1793
3142,4246,700,859,211,5458,1435
3143,3402,351,650,175,3242,1239
3144,3096,530,577,166,4627,1888
3145,7974,818,1043,314,9154,3980
3146,7246,814,1174,355,10896,4770
3147,3947,696,849,231,5990,2923
3148,3002,317,458,181,3343,1343
3149,8559,1569,1530,505,15743,5705
3150,14407,2926,2435,877,29600,9837
3151,2944,542,529,153,4639,1461
3152,8192,1764,1722,660,15518,5230
3153,5834,968,1756,558,7795,3632
3154,1201,189,307,102,1745,875
3155,6365,970,1955,645,8460,3796
3156,10342,1409,2617,882,15399,6810
3158,1969,143,510,154,2601,1270
3159,726,45,166,54,1129,530
3160,2538,224,670,242,3553,1783
3161,4773,809,888,206,6081,2513
3162,4644,941,1033,335,7437,3060
3163,11286,1133,1817,619,12581,4925
3165,6552,1245,1616,565,11869,5784
3166,7602,1045,1315,443,9427,3924
3167,2514,431,449,217,4134,1511
3168,10025,728,727,257,6392,2076
3169,5781,948,1108,363,8869,3050
3170,4736,974,917,353,9055,3337
3171,6295,1079,1489,543,8830,3480
3172,5738,1007,1557,528,10102,4159
3173,6335,963,1323,548,11510,5107
3174,10342,1909,3024,1082,15429,6676
3175,13739,2609,3386,1518,22193,9858
3177,3128,573,872,421,4123,2187
3178,8528,968,1657,624,15657,6235
3179,1594,171,339,140,2639,1138
3180,1838,282,505,160,3362,1313
3181,11042,805,1424,423,4901,1669
3182,13620,453,2036,556,4965,1770
3183,8719,422,1134,313,4975,2933
3184,7378,290,1345,336,4051,2149
3185,4375,452,843,217,4628,2410
3186,5516,1292,1505,440,10462,4035
3187,3539,1070,908,270,7026,3185
3188,4629,725,1261,391,7469,3611
3189,1692,296,415,141,2306,1049
3190,2836,454,836,259,4021,2054
3191,2479,615,722,207,4415,1803
3192,5825,1331,1569,494,9057,4015
3193,4104,907,1106,291,9477,3622
3194,3784,607,1025,373,5078,2103
3195,9195,1383,2256,792,15131,7099
3196,7015,1349,2290,701,9447,4522
3197,2996,547,1096,345,4643,1926
3198,5248,808,1763,567,5350,2727
3199,16267,2704,5221,1762,18974,9371
3200,2084,412,587,244,1360,1066
3201,6206,901,1907,732,6795,4173
3202,661,121,211,59,1197,664
3204,8515,1160,1668,575,12665,6052
3205,4662,430,967,258,3336,1261
3206,3104,339,782,206,4120,1806
3207,5676,572,1507,413,5801,2205
3211,342,43,69,35,579,246
3212,4513,587,1009,493,6738,3318
3213,1013,114,187,91,1799,829
3214,8328,1337,2095,903,6662,4635
3215,5809,1505,1567,646,7749,3342
3216,15777,2934,3491,1236,22709,10130
3217,1826,117,321,157,2597,1594
3218,4318,573,1110,346,4707,2384
3219,6253,1252,1963,636,6507,3097
3220,4978,757,1155,393,6386,2682
3221,158,19,36,15,364,167
3222,3263,847,1043,433,6672,2700
3223,1493,517,763,250,3479,899
3224,3392,643,972,397,6091,2700
3225,689,354,293,86,2121,515
3226,3077,601,1020,346,6218,2899
3227,965,160,333,93,2181,1090
3228,4117,569,982,350,7817,4107
3230,593,183,201,73,1120,387
3231,338,60,94,33,549,181
3232,274,81,95,34,490,140
3233,575,116,182,64,841,257
3234,43,8,19,7,78,28
3235,101,7,34,7,160,71
3236,71,8,24,13,80,28
3237,67,13,26,14,76,24
3238,61,0,26,11,94,27
3239,132,16,45,12,156,69
3240,447,46,96,25,977,428
3241,636,176,205,71,1031,451
3242,225,27,59,19,336,161
3243,86,11,30,14,155,68
3249,713,115,224,79,1443,622
3250,3439,883,853,349,4507,2216
3251,145,35,37,15,206,85
3254,81,5,26,8,115,76
3260,1063,323,353,147,2072,815
3264,593,209,152,47,882,406
3265,684,73,149,55,1096,565
3266,764,173,170,85,1308,573
3267,68,10,8,0,111,53
3268,673,135,156,54,1073,507
3269,187,22,32,13,302,175
3270,57,16,26,7,92,38
3271,43,9,5,6,93,33
3272,360,99,122,42,629,291
3273,41,4,8,4,61,27
3274,67,17,14,11,91,53
3275,123,10,27,12,165,93
3276,105,11,28,12,225,107
3277,477,49,99,44,841,415
3278,73,12,21,7,121,74
3279,67,17,14,3,122,70
3280,9225,1792,2243,911,11760,5639
3281,385,34,83,30,773,400
3282,570,87,127,59,1023,487
3283,322,27,73,26,609,303
3284,721,263,249,67,1537,607
3285,288,40,90,27,554,212
3286,115,30,38,23,255,113
3287,105,11,23,4,194,96
3289,153,46,57,18,329,146
3292,40,11,21,4,95,16
3293,58,18,36,6,120,60
3294,207,47,59,18,442,185
3300,2508,828,682,240,4178,1660
3301,202,42,54,18,624,266
3302,72,11,25,13,184,71
3303,82,8,21,9,148,70
3304,670,184,225,86,1126,442
3305,3409,725,1108,378,5047,2144
3309,27,5,17,7,47,21
3310,62,11,46,9,119,28
3311,380,164,124,50,746,232
3312,232,54,68,25,470,184
3314,102,26,38,16,245,102
3315,370,154,117,47,681,257
3317,39,10,15,3,83,46
3318,280,118,90,39,542,201
3319,79,25,34,11,158,45
3321,300,35,73,27,727,356
3322,47,20,22,0,59,27
3323,22,4,6,0,45,13
3324,132,35,51,16,220,73
3325,87,36,36,14,220,88
3328,403,42,93,31,757,389
3329,64,5,13,9,132,59
3330,51,9,17,4,86,48
3331,1265,180,273,148,2610,1523
3332,237,17,49,35,433,236
3333,196,28,57,22,354,174
3334,147,24,58,16,217,100
3335,1468,104,291,168,2492,1340
3337,10333,1054,2734,1339,12552,8454
3338,6293,819,1544,802,8310,5642
3340,5587,832,1449,607,8223,4416
3341,449,40,84,47,732,315
3342,879,188,279,89,1372,638
3345,271,42,79,25,507,234
3350,18306,2669,4348,1667,21116,11034
3351,1970,273,545,183,3527,1678
3352,3679,415,1011,440,7073,3382
3355,3967,992,1111,440,4241,2256
3356,5218,1018,1429,581,4965,3110
3357,762,136,201,64,1692,848
3360,189,45,83,25,319,110
3361,147,55,58,26,268,126
3363,832,256,285,94,1410,602
3364,491,78,169,50,986,383
3370,503,113,198,82,628,260
3371,249,46,143,44,392,117
3373,488,183,228,77,914,404
3374,67,21,29,12,207,63
3375,35,14,3,6,98,48
3377,2744,617,694,319,3598,1435
3378,21,0,7,4,75,40
3379,174,55,54,28,352,136
3380,1637,498,436,214,2352,887
3381,284,32,86,43,569,197
3384,125,35,47,25,242,71
3385,105,15,42,14,254,75
3387,60,22,28,8,138,55
3388,132,47,30,16,258,88
3390,200,46,54,44,404,155
3391,45,12,12,0,69,33
3392,133,63,52,15,245,78
3393,637,235,183,77,1117,443
3395,66,27,35,5,178,40
3396,155,71,47,15,343,107
3400,3832,992,1060,397,5565,2696
3401,897,105,242,83,2165,928
3407,86,11,29,17,212,65
3409,209,64,67,25,403,163
3412,73,16,26,10,139,45
3413,39,11,11,5,105,46
3414,413,157,137,64,801,255
3415,20,0,0,3,13,4
3418,634,178,167,55,1293,444
3419,180,68,39,22,375,123
3420,57,11,7,6,125,69
3423,95,34,53,20,208,66
3424,154,68,50,28,342,133
3427,898,67,234,91,998,470
3428,174,23,38,13,313,110
3429,9961,1360,2557,1043,14179,7192
3430,93,9,17,13,134,63
3431,893,109,248,99,1793,817
3432,39,6,14,7,89,41
3433,60,4,8,0,97,44
3434,1258,151,303,131,2186,1042
3435,709,93,216,76,1207,570
3437,2172,362,633,223,4726,2323
3438,497,99,122,45,1046,578
3440,437,60,111,50,942,444
3441,266,30,83,20,663,275
3442,1687,290,516,161,3256,1551
3444,2325,499,774,245,3752,1596
3446,310,31,99,45,387,162
3447,134,13,64,15,151,73
3448,192,41,94,25,394,126
3450,1934,538,726,202,2381,1055
3451,1808,201,522,199,2058,863
3453,403,69,144,35,769,310
