Postcode,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated,Total
2000,6073,6509,726,427,103,116,8824,90,4541,27411
2006,8,534,6,5,7,5,501,7,188,1261
2007,983,1543,203,214,20,36,4451,50,1347,8846
2008,999,2126,190,221,45,51,6311,68,1694,11712
2009,840,4491,360,181,52,66,5152,66,1617,12813
2010,1469,7892,312,299,328,118,12335,198,4782,27733
2011,516,6447,175,174,316,77,8393,109,4991,21199
2015,326,3306,76,72,101,59,4825,55,1112,9922
2016,472,4019,158,223,178,69,6156,109,1827,13213
2017,1188,7607,209,438,345,93,11288,156,3369,24694
2018,615,8351,313,1608,260,51,4174,60,1599,17028
2019,217,6636,105,162,222,41,2505,32,915,10840
2020,942,7089,424,677,104,51,4118,56,1307,14771
2021,211,6328,78,53,390,39,6136,82,2002,15312
2022,251,4698,62,67,1308,34,4136,53,1906,12510
2023,114,3818,50,26,2300,32,3076,52,1254,10719
2024,118,4854,38,39,432,28,4071,54,1443,11073
2025,88,3139,54,17,578,22,2486,30,989,7407
2026,388,10416,113,95,4118,82,12279,215,4786,32489
2027,116,3434,38,39,787,23,2436,40,1271,8191
2028,45,2007,17,31,521,9,1384,11,620,4643
2029,100,3429,49,41,2728,24,2434,39,1118,9957
2030,172,5050,55,73,4110,49,3109,47,1418,14080
2031,641,15626,312,322,1546,140,12161,171,3819,34729
2032,819,6602,282,601,468,56,6362,60,1453,16692
2033,489,5024,210,335,336,54,3880,56,1193,11573
2034,278,9693,123,136,631,58,7105,92,2588,20716
2035,1047,18050,246,553,1651,127,9610,119,3083,34496
2036,660,16558,349,977,701,148,6374,96,4540,30411
2037,742,5092,147,207,86,125,7499,139,2085,16119
2038,191,3653,59,39,70,38,4335,77,998,9452
2039,175,3592,45,50,42,32,3754,46,988,8726
2040,399,9687,139,172,88,103,9292,130,2241,22242
2041,233,6569,95,71,117,37,6658,95,1819,15687
2042,595,5010,165,160,138,97,10409,202,2343,19128
2043,217,2111,50,50,55,15,4510,84,925,8014
2044,429,2867,101,158,38,44,3418,67,716,7840
2045,74,4123,49,34,35,27,1669,29,425,6453
2046,545,16944,199,261,83,107,6334,78,2280,26822
2047,240,6843,115,88,41,53,3263,55,1254,11950
2048,180,3016,42,56,12,23,3639,55,911,7940
2049,262,4363,94,110,53,47,5017,72,1254,11278
2050,307,2369,74,132,38,60,4844,61,1074,8967
2052,230,794,116,162,11,17,1713,11,378,3428
2060,389,5810,438,111,101,73,5348,70,1653,13987
2061,147,2511,128,38,57,41,2190,29,808,5943
2062,136,3322,131,35,104,24,2613,32,607,7004
2063,128,3736,52,4,92,22,1890,11,420,6348
2064,446,3644,664,190,73,63,3547,44,863,9525
2065,991,12525,935,309,246,185,11662,167,3100,30116
2066,843,16237,941,428,367,242,10067,121,2385,31625
2067,1761,9402,854,363,186,168,11254,84,2332,26404
2068,432,9090,154,126,202,76,5459,60,1211,16811
2069,358,7521,182,89,199,74,4631,50,1142,14251
2070,483,6914,220,85,251,92,4506,36,928,13504
2071,534,6199,271,101,294,116,5005,38,981,13550
2072,290,3475,141,62,124,57,2820,31,656,7666
2073,399,8925,328,147,226,166,5046,36,1083,16354
2074,383,12496,404,132,181,172,6611,72,1811,22261
2075,457,9970,358,164,1899,213,5975,56,1361,20456
2076,585,14110,600,222,141,187,6870,87,1860,24653
2077,1377,16806,2735,817,125,421,12443,182,2891,37792
2079,107,4054,112,126,14,47,2218,26,383,7096
2080,28,954,36,17,0,11,527,4,137,1704
2081,77,3082,54,74,27,23,1691,23,311,5365
2082,65,3000,6,10,11,17,1901,31,358,5399
2083,14,683,0,7,0,6,649,11,142,1514
2084,44,2165,9,19,28,6,1067,11,272,3625
2085,95,7248,71,21,45,40,3275,33,792,11624
2086,161,8035,67,40,60,103,4122,46,790,13417
2087,233,7296,53,75,95,81,4130,53,773,12796
2088,403,15265,293,106,236,85,9072,96,2926,28476
2089,318,5158,223,60,93,48,4496,62,1449,11914
2090,358,6402,199,87,151,59,4962,66,1448,13726
2092,90,3968,18,27,19,24,2485,35,470,7137
2093,267,11920,178,143,61,104,8394,88,1716,22872
2094,51,2812,22,13,22,17,2371,33,509,5841
2095,208,6740,27,37,72,38,6796,77,1878,15863
2096,116,7049,38,38,33,52,5804,58,1476,14656
2097,144,9111,65,40,32,49,4727,60,1297,15531
2099,1208,20905,756,393,98,395,12603,204,3373,39922
2100,429,11777,177,106,39,113,6793,105,1373,20911
2101,187,10900,55,45,44,100,6380,80,1599,19394
2102,61,4559,40,15,18,66,2136,26,581,7499
2103,105,6132,51,34,36,39,3318,48,913,10674
2104,21,2120,0,8,14,11,1142,3,308,3620
2105,25,828,0,3,3,12,737,14,224,1848
2106,108,4981,20,14,37,34,3476,47,582,9303
2107,132,7128,18,28,44,36,6248,50,976,14670
2108,24,888,0,0,7,5,534,11,196,1672
2109,149,1039,197,161,9,18,1124,13,380,3090
2110,136,6424,76,72,297,36,2476,59,764,10348
2111,313,8627,174,141,34,75,3821,42,1181,14415
2112,1140,17990,970,914,70,265,8928,125,2459,32852
