Postcode,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable
2600,36,10,15,33,9,19,4,9,8,23,13,22,13,31,48,82,27,190,168,70,35,19,48,30,2786
2601,3,3,4,0,3,3,0,0,6,4,6,7,9,33,48,96,59,224,174,43,19,17,28,33,827
2602,104,81,219,310,133,149,91,118,113,180,152,279,237,413,276,403,206,883,286,137,48,21,36,144,8840
2603,30,39,63,69,25,22,14,20,11,36,16,79,72,111,88,108,57,217,124,68,42,23,60,42,3131
2604,35,38,52,67,39,60,35,32,34,40,18,46,47,109,161,281,117,528,251,92,47,31,33,64,3272
2605,27,6,45,46,25,24,10,31,31,60,38,45,39,45,25,54,46,302,100,52,35,6,4,38,3572
2606,16,30,50,49,27,39,29,58,34,49,82,186,166,243,132,138,85,235,60,22,13,6,18,58,2892
2607,37,16,75,48,32,34,31,39,29,53,62,99,41,87,60,105,69,278,88,42,12,9,9,49,4405
2609,6,6,0,9,10,8,7,27,14,16,5,4,0,10,16,16,0,11,0,0,0,0,0,10,321
2612,50,100,131,164,56,45,59,100,129,123,57,139,118,361,284,331,185,793,291,126,66,29,39,91,4063
2614,59,47,75,102,56,55,43,59,44,73,81,152,99,165,162,244,102,316,77,37,7,3,3,60,6146
2615,105,51,142,239,132,161,111,129,77,119,64,171,127,313,330,448,223,520,97,22,10,6,12,157,13789
2617,91,44,81,154,76,103,82,79,45,78,94,422,430,525,407,512,255,771,251,59,31,15,19,131,8582
2900,6,4,10,14,4,3,3,8,3,0,0,15,29,49,33,93,55,103,11,0,0,0,0,6,601
2902,27,28,71,105,49,63,37,35,26,29,16,58,43,80,77,142,62,160,33,14,5,5,0,51,4835
2903,19,25,42,69,27,32,20,23,9,20,14,37,19,49,36,82,39,123,26,9,0,0,0,28,2951
2904,22,3,24,26,10,13,15,14,6,12,12,22,4,19,46,97,49,192,50,15,4,0,0,23,4282
