POSTCODES,Major Cities of Australia ,Inner Regional Australia ,Outer Regional Australia ,Remote Australia ,Very Remote Australia ,Migratory - Offshore - Shipping ,Total
4000,8674,0,0,0,0,0,8674
4005,9924,0,0,0,0,0,9924
4006,8815,0,0,0,0,0,8815
4007,6881,0,0,0,0,0,6881
4008,133,0,0,0,0,0,133
4009,0,0,0,0,0,0,0
4010,1302,0,0,0,0,0,1302
4011,7058,0,0,0,0,0,7058
4012,10239,0,0,0,0,0,10239
4013,2109,0,0,0,0,0,2109
4014,4582,0,0,0,0,0,4582
4017,14782,0,0,0,0,0,14782
4018,5237,0,0,0,0,0,5237
4019,9665,0,0,0,0,0,9665
4020,10904,0,0,0,0,0,10904
4021,3979,0,0,0,0,0,3979
4022,2710,0,0,0,0,0,2710
4025,0,0,0,360,0,0,360
4029,4,0,0,0,0,0,4
4030,7721,0,0,0,0,0,7721
4031,6087,0,0,0,0,0,6087
4032,7344,0,0,0,0,0,7344
4034,18446,0,0,0,0,0,18446
4035,8749,0,0,0,0,0,8749
4036,2466,0,0,0,0,0,2466
4037,2535,0,0,0,0,0,2535
4051,11649,0,0,0,0,0,11649
4053,18325,0,0,0,0,0,18325
4054,5520,0,0,0,0,0,5520
4055,7162,0,0,0,0,0,7162
4059,5909,0,0,0,0,0,5909
4060,5090,0,0,0,0,0,5090
4061,6056,0,0,0,0,0,6056
4064,5069,0,0,0,0,0,5069
4065,3663,0,0,0,0,0,3663
4066,7813,0,0,0,0,0,7813
4067,4281,0,0,0,0,0,4281
4068,10459,0,0,0,0,0,10459
4069,11914,84,0,0,0,0,11999
4070,4024,0,0,0,0,0,4024
4072,22,0,0,0,0,0,22
4073,3162,0,0,0,0,0,3162
4074,8852,0,0,0,0,0,8852
4075,9227,0,0,0,0,0,9227
4076,1961,0,0,0,0,0,1961
4077,11111,0,0,0,0,0,11111
4078,9205,0,0,0,0,0,9205
4101,11197,0,0,0,0,0,11197
4102,3664,0,0,0,0,0,3664
4103,6470,0,0,0,0,0,6470
4104,3005,0,0,0,0,0,3005
4105,6003,0,0,0,0,0,6003
4106,674,0,0,0,0,0,674
4107,2440,0,0,0,0,0,2440
4108,2362,0,0,0,0,0,2362
4109,13096,0,0,0,0,0,13096
4110,4047,0,0,0,0,0,4047
4111,353,0,0,0,0,0,353
4112,2572,0,0,0,0,0,2572
4113,10643,0,0,0,0,0,10643
4114,10950,0,0,0,0,0,10950
4115,6538,0,0,0,0,0,6538
4116,8529,0,0,0,0,0,8529
4117,451,0,0,0,0,0,451
4118,10450,0,0,0,0,0,10450
4119,2252,0,0,0,0,0,2252
4120,4322,0,0,0,0,0,4322
4121,9777,0,0,0,0,0,9777
4122,16939,0,0,0,0,0,16939
4123,7028,0,0,0,0,0,7028
4124,6428,40,0,0,0,0,6463
4125,2643,7,0,0,0,0,2646
4127,10049,0,0,0,0,0,10049
4128,5973,0,0,0,0,0,5973
4129,2214,0,0,0,0,0,2214
4130,2996,0,0,0,0,0,2996
4131,3705,0,0,0,0,0,3705
4132,8406,0,0,0,0,0,8406
4133,6599,140,0,0,0,0,6737
4151,7584,0,0,0,0,0,7584
4152,17705,0,0,0,0,0,17705
4153,1607,0,0,0,0,0,1607
4154,3609,0,0,0,0,0,3609
4155,473,0,0,0,0,0,473
4156,1009,0,0,0,0,0,1009
4157,7385,0,0,0,0,0,7385
4158,1710,0,0,0,0,0,1710
4159,5374,0,0,0,0,0,5374
4160,7008,0,0,0,0,0,7008
4161,6114,0,0,0,0,0,6114
4163,6824,0,0,0,0,0,6824
4164,5193,0,0,0,0,0,5193
4165,13654,97,0,0,0,0,13751
4169,7455,0,0,0,0,0,7455
4170,10709,0,0,0,0,0,10709
4171,6779,0,0,0,0,0,6779
4172,1705,0,0,0,0,0,1705
4173,3352,0,0,0,0,0,3352
4174,926,0,0,0,0,0,926
4178,10532,0,0,0,0,0,10532
4179,7793,0,0,0,0,0,7793
4183,0,0,0,1856,0,0,1856
4184,0,2327,2277,0,0,0,4600
4205,2314,0,0,0,0,0,2314
4207,21119,581,0,0,0,0,21697
4208,6768,0,0,0,0,0,6768
4209,16613,0,0,0,0,0,16613
4210,6909,0,0,0,0,0,6909
4211,22417,931,0,0,0,0,23345
4212,11732,0,0,0,0,0,11732
4213,9717,488,0,0,0,0,10206
4214,13913,0,0,0,0,0,13913
4215,24996,0,0,0,0,0,24996
4216,18531,112,0,0,0,0,18646
4217,23627,0,0,0,0,0,23627
4218,16710,0,0,0,0,0,16710
4220,14791,0,0,0,0,0,14791
4221,12216,0,0,0,0,0,12216
4222,0,0,0,0,0,0,0
4223,5720,184,0,0,0,0,5907
4224,3154,0,0,0,0,0,3154
4225,5162,0,0,0,0,0,5162
4226,12667,0,0,0,0,0,12667
4227,8513,0,0,0,0,0,8513
4228,1591,117,0,0,0,0,1706
4229,9,0,0,0,0,0,9
4230,835,0,0,0,0,0,835
4270,32,1356,0,0,0,0,1389
4271,1315,25,0,0,0,0,1346
4272,2051,28,0,0,0,0,2080
4275,0,1307,0,0,0,0,1307
4280,2787,2676,0,0,0,0,5463
4285,0,7813,0,0,0,0,7813
4287,0,372,0,0,0,0,372
4300,19471,0,0,0,0,0,19471
4301,9521,0,0,0,0,0,9521
4303,1481,0,0,0,0,0,1481
4304,7470,0,0,0,0,0,7470
4305,25500,47,0,0,0,0,25541
4306,8087,3773,1255,0,0,0,13109
4307,0,594,0,0,0,0,594
4309,0,1321,0,0,0,0,1321
4310,0,2565,0,0,0,0,2565
4311,0,4221,0,0,0,0,4221
4312,0,1419,0,0,0,0,1419
4313,0,1111,0,0,0,0,1111
4340,0,2190,0,0,0,0,2190
4341,0,5709,0,0,0,0,5709
4342,0,1096,0,0,0,0,1096
4343,0,4352,0,0,0,0,4352
4344,0,1067,0,0,0,0,1067
4345,0,26,0,0,0,0,26
4346,0,381,0,0,0,0,381
4347,0,495,0,0,0,0,495
4350,0,47136,0,0,0,0,47136
4352,0,9752,552,0,0,0,10306
4353,0,131,0,0,0,0,131
4354,0,498,0,0,0,0,498
4355,0,1224,0,0,0,0,1224
4356,0,2017,0,0,0,0,2017
4357,0,638,515,0,0,0,1153
4358,0,868,0,0,0,0,868
4359,0,505,0,0,0,0,505
4360,0,261,0,0,0,0,261
4361,0,1200,0,0,0,0,1200
4362,0,1106,0,0,0,0,1106
4363,0,235,0,0,0,0,235
4364,0,81,0,0,0,0,81
4365,0,271,0,0,0,0,271
4370,0,8238,140,0,0,0,8376
4371,0,344,0,0,0,0,344
4372,0,63,0,0,0,0,63
4373,0,0,467,0,0,0,467
4374,0,173,10,0,0,0,186
4376,0,0,166,0,0,0,166
4378,0,0,220,0,0,0,220
4381,0,0,301,0,0,0,301
4382,0,0,288,0,0,0,288
4384,0,0,28,0,0,0,28
4387,0,0,660,0,0,0,660
4388,0,0,198,0,0,0,198
4390,0,0,3036,0,0,0,3036
4400,0,734,0,0,0,0,734
4401,0,2322,0,0,0,0,2322
4402,0,27,157,0,0,0,184
4403,0,358,0,0,0,0,358
4404,0,220,0,0,0,0,220
4405,0,5659,562,0,0,0,6218
4406,0,76,417,205,0,0,699
4407,0,46,225,0,0,0,265
4408,0,0,293,0,0,0,293
4410,0,0,571,0,0,0,571
4411,0,0,143,0,0,0,143
4412,0,0,92,0,0,0,92
4413,0,0,3743,0,0,0,3743
4415,0,0,1215,4,0,0,1221
